file_extension,size_before_kb,size_after_kb,time_gap_seconds,files_modified_in_window,filename_entropy,process_type,label,size_change_ratio,is_executable,high_entropy_flag,mass_change_flag
.zip,4855,2366,83,76,7.16,user_edit,benign,0.4873326466555442,0,1,1
.log,3178,1526,2995,139,4.28,user_edit,benign,0.4801762113026507,0,1,1
.exe,2129,4477,2947,101,4.21,unknown_process,benign,2.1028651939394716,1,1,1
.zip,2181,1647,1450,89,4.15,system_update,benign,0.7551581839728757,0,1,1
.docx,4893,14,1299,18,2.38,system_update,benign,0.0028612303284567277,0,0,1
.exe,138,4600,2332,19,5.51,backup,benign,33.333333091787445,1,1,1
.exe,3473,2279,980,55,6.03,system_update,benign,0.6562050098887979,1,1,1
.zip,2833,3156,2221,102,5.72,system_update,benign,1.1140134129495187,0,1,1
.pdf,3580,130,3399,118,2.76,system_update,benign,0.03631284915186792,0,0,1
.docx,3032,3815,3135,154,5.18,backup,benign,1.2582453821707635,0,1,1
.zip,4165,4934,3145,134,5.13,user_edit,benign,1.1846338532569907,0,1,1
.docx,2594,3217,2811,4,6.78,system_update,benign,1.240169621726997,0,1,0
.docx,4301,2939,1660,108,4.09,backup,benign,0.6833294581066427,0,1,1
.exe,3819,3929,1399,115,4.04,backup,benign,1.028803351393348,1,1,1
.log,4139,2041,633,29,5.4,unknown_process,benign,0.4931142786921685,0,1,1
.docx,3824,28,1532,59,5.48,backup,benign,0.0073221757303027785,0,1,1
.jpg,4043,2114,787,125,4.58,user_edit,benign,0.5228790500809105,0,1,1
.exe,1907,1253,2991,98,4.44,system_update,benign,0.6570529624241987,1,1,1
.pdf,761,4357,3060,17,4.72,backup,benign,5.725361359099394,0,1,1
.log,3446,2047,398,107,6.74,user_edit,benign,0.5940220543836268,0,1,1
.jpg,900,4556,1144,43,4.54,backup,benign,5.062222216597531,0,1,1
.jpg,4456,4024,934,80,7.17,backup,benign,0.9030520644292971,0,1,1
.pdf,2948,4397,1461,194,4.77,backup,benign,1.4915196738495524,0,1,1
.log,1720,3375,1853,162,7.22,backup,benign,1.962209301184762,0,1,1
.exe,281,3467,2724,8,6.58,backup,benign,12.338078247907195,1,1,0
.txt,3267,3082,2984,141,3.99,user_edit,benign,0.9433731249025488,0,0,1
.log,1888,3779,2513,106,6.75,system_update,benign,2.001588981990684,0,1,1
.pdf,3267,630,286,8,2.61,system_update,benign,0.19283746550571246,0,0,0
.jpg,667,270,265,96,7.09,system_update,benign,0.40479760059250736,0,1,1
.exe,4189,2640,2368,94,5.47,system_update,benign,0.6302220098758123,1,1,1
.log,672,1994,2721,65,2.3,user_edit,benign,2.9672619003463363,0,0,1
.txt,1970,2892,3448,171,5.54,unknown_process,malicious,1.46802030382334,0,1,1
.txt,4157,4958,2868,39,7.36,unknown_process,benign,1.1926870336317807,0,1,1
.docx,3123,3433,2137,81,2.38,user_edit,benign,1.0992635283063519,0,0,1
.docx,4700,1281,1678,187,5.05,user_edit,benign,0.27255319143137163,0,1,1
.zip,4778,2361,1227,84,6.11,backup,benign,0.49413980734739643,0,1,1
.pdf,3901,576,821,88,6.46,backup,benign,0.1476544475396938,0,1,1
.log,524,1308,1763,86,4.28,backup,benign,2.496183201343162,0,1,1
.log,2394,3193,3049,93,3.12,system_update,benign,1.3337510437202378,0,0,1
.zip,3118,3179,2382,86,2.23,backup,benign,1.0195638226364452,0,0,1
.jpg,2594,2735,2270,44,5.19,unknown_process,benign,1.0543562062242267,0,1,1
.jpg,1969,2213,41,137,4.49,system_update,benign,1.1239207713946566,0,1,1
.zip,1754,2353,1732,165,7.22,backup,benign,1.341505130364022,0,1,1
.jpg,2297,3569,68,74,2.33,system_update,benign,1.553765780777638,0,0,1
.docx,2262,1656,988,36,5.77,unknown_process,benign,0.7320954903925307,0,1,1
.log,2287,1580,1800,101,2.14,backup,benign,0.69086139016578,0,0,1
.zip,4203,2204,2562,156,2.94,unknown_process,benign,0.5243873422497294,0,0,1
.log,2879,1391,1622,170,4.49,unknown_process,benign,0.48315387270470517,0,1,1
.txt,4144,1743,1656,171,4.5,unknown_process,benign,0.42060810800660997,0,1,1
.docx,3645,1926,3199,170,5.77,backup,benign,0.5283950615834307,0,1,1
.exe,4433,620,1279,104,7.01,user_edit,benign,0.13986013982859008,1,1,1
.docx,2056,1275,695,66,5.51,backup,benign,0.6201361864688054,0,1,1
.zip,4721,957,3088,55,7.24,unknown_process,malicious,0.20271128993799803,0,1,1
.exe,1277,1940,2525,176,6.85,backup,benign,1.519185590039792,1,1,1
.txt,2767,3954,1086,91,5.21,unknown_process,benign,1.428984459187212,0,1,1
.zip,303,2382,2929,22,6.59,user_edit,benign,7.861386112668693,0,1,1
.pdf,639,969,2480,101,5.53,system_update,benign,1.5164319225094962,0,1,1
.log,56,1317,1694,155,2.43,user_edit,benign,23.517856722895417,0,0,1
.txt,4822,1044,2316,121,6.07,user_edit,benign,0.216507673119762,0,1,1
.log,526,282,1059,93,2.52,system_update,benign,0.5361216719845595,0,0,1
.jpg,4570,2845,779,195,5.27,backup,benign,0.6225382930804073,0,1,1
.pdf,4124,1059,494,108,5.86,system_update,benign,0.2567895246710015,0,1,1
.pdf,2126,4294,1586,141,2.37,backup,benign,2.019755408269165,0,0,1
.txt,3288,2533,1493,173,3.27,backup,benign,0.7703771287194717,0,0,1
.pdf,365,3829,1791,10,7.04,unknown_process,benign,10.490410930163257,0,1,0
.exe,4622,1009,661,9,5.39,unknown_process,benign,0.21830376455683603,1,1,0
.pdf,4979,1230,1349,182,3.35,system_update,benign,0.24703755769290267,0,0,1
.log,1647,1036,1328,155,5.8,user_edit,benign,0.6290224647061187,0,1,1
.log,919,4586,1300,34,5.28,system_update,benign,4.990206741033507,0,1,1
.zip,2798,276,1987,129,4.76,backup,benign,0.09864188702693286,0,1,1
.log,1532,2741,3061,160,7.37,unknown_process,malicious,1.7891644896937566,0,1,1
.zip,3346,2290,2045,89,5.76,system_update,benign,0.6843992825211,0,1,1
.log,1907,1240,3273,93,4.06,system_update,benign,0.6502359723910666,0,1,1
.exe,3087,126,3517,71,6.4,unknown_process,malicious,0.04081632651739024,1,1,1
.zip,4581,4066,1929,67,6.87,unknown_process,malicious,0.88757913100031,0,1,1
.docx,2076,4313,1348,148,2.69,unknown_process,benign,2.077552985511776,0,0,1
.jpg,714,3869,1059,117,3.1,backup,benign,5.418767499413491,0,0,1
.txt,1063,1209,977,94,3.19,unknown_process,benign,1.1373471296920534,0,0,1
.log,1977,3250,482,163,5.8,user_edit,benign,1.6439049055923596,0,1,1
.pdf,1297,919,728,99,5.32,system_update,benign,0.7085582107104408,0,1,1
.log,126,3924,2528,113,5.4,unknown_process,benign,31.14285689569161,0,1,1
.pdf,4633,4404,3137,103,7.17,unknown_process,malicious,0.9505719833907679,0,1,1
.jpg,3597,1970,1032,91,6.27,backup,benign,0.5476786209208566,0,1,1
.jpg,3284,2794,3373,90,2.7,backup,benign,0.8507917171587115,0,0,1
.jpg,1604,892,343,17,3.91,system_update,benign,0.5561097253390836,0,0,1
.pdf,67,4471,3503,18,4.39,user_edit,benign,66.73134228759191,0,1,1
.log,233,2034,1448,173,4.18,system_update,benign,8.729613696439426,0,1,1
.jpg,2157,1365,2380,116,5.68,unknown_process,malicious,0.6328233654924325,0,1,1
.exe,1170,129,2486,93,6.91,user_edit,benign,0.110256410162174,1,1,1
.zip,2159,1015,2222,181,3.68,user_edit,benign,0.47012505767942336,0,0,1
.pdf,4207,1800,2607,91,5.04,user_edit,benign,0.4278583312508062,0,1,1
.pdf,1494,4613,527,82,6.34,user_edit,benign,3.0876840675450574,0,1,1
.log,4719,1519,1897,68,4.29,system_update,benign,0.3218902309129285,0,1,1
.pdf,4008,4182,659,193,2.92,backup,benign,1.043413173392362,0,0,1
.pdf,2473,1199,2074,114,4.61,backup,benign,0.4848362311019668,0,1,1
.jpg,2661,3874,820,1,2.3,unknown_process,benign,1.4558436672469586,0,0,0
.log,2740,2475,2653,58,7.18,backup,benign,0.9032846712031808,0,1,1
.jpg,1762,3486,406,154,2.41,backup,benign,1.9784335970610478,0,0,1
.zip,3515,4050,2280,109,4.41,backup,benign,1.1522048360875663,0,1,1
.zip,1976,3720,2581,148,4.91,backup,benign,1.8825910921646805,0,1,1
.jpg,2363,303,1574,116,7.42,unknown_process,malicious,0.1282268302462011,0,1,1
.zip,877,3953,1812,87,2.91,system_update,benign,4.5074116254191425,0,0,1
.log,3813,4684,505,10,2.63,user_edit,benign,1.2284290581619646,0,0,0
.txt,3449,987,179,59,2.05,backup,benign,0.28616990423712096,0,0,1
.jpg,1313,1864,132,41,2.86,system_update,benign,1.4196496561921936,0,0,1
.exe,1461,4441,1847,105,3.14,backup,benign,3.039698834332855,1,0,1
.exe,2710,4910,1479,133,5.47,backup,benign,1.811808117412617,1,1,1
.pdf,2325,3073,2396,122,3.21,user_edit,benign,1.321720429539045,0,0,1
.zip,1734,3125,2588,193,2.11,user_edit,benign,1.8021914637818963,0,0,1
.exe,1606,1328,772,145,6.55,user_edit,benign,0.8268991277541101,1,1,1
.pdf,2564,2409,1430,22,4.01,backup,benign,0.9395475815368379,0,1,1
.txt,3422,3674,2124,98,3.95,backup,benign,1.0736411452151837,0,0,1
.log,3518,3292,579,169,3.66,backup,benign,0.9357589536851169,0,0,1
.log,2398,4034,2902,68,7.36,user_edit,benign,1.682235195295148,0,1,1
.log,3736,704,1516,197,2.94,unknown_process,benign,0.18843683078467965,0,0,1
.exe,2871,575,194,139,6.94,system_update,benign,0.20027864848475144,1,1,1
.txt,1161,3233,2008,56,6.27,unknown_process,malicious,2.784668386921043,0,1,1
.exe,4855,4784,1186,179,2.42,backup,benign,0.9853759009298916,1,0,1
.zip,243,2633,2395,149,7.43,backup,benign,10.835390901911971,0,1,1
.exe,2591,3829,2999,99,3.49,unknown_process,benign,1.4778077956473148,1,0,1
.txt,1064,3231,1385,76,2.54,backup,benign,3.0366541324843475,0,0,1
.txt,4325,489,1793,26,6.56,system_update,benign,0.11306358378888702,0,1,1
.zip,2596,1348,1111,115,5.89,backup,benign,0.5192604004163096,0,1,1
.txt,920,3682,3334,147,5.39,system_update,benign,4.0021739086932895,0,1,1
.txt,6,3174,2262,109,2.86,unknown_process,benign,528.999911833348,0,0,1
.log,468,4590,1937,188,4.63,unknown_process,benign,9.8076922867357,0,1,1
.zip,4171,1668,2621,199,6.29,backup,benign,0.39990409964039697,0,1,1
.docx,4,1638,780,47,3.67,system_update,benign,409.4998976250256,0,0,1
.docx,646,4115,262,71,3.71,backup,benign,6.369969030387045,0,0,1
.txt,118,3554,730,154,2.02,user_edit,benign,30.118643812553866,0,0,1
.docx,2929,1001,283,40,2.96,user_edit,benign,0.3417548650250069,0,0,1
.docx,2552,851,1491,133,6.81,user_edit,benign,0.3334639497125925,0,1,1
.txt,4290,1389,3452,149,4.43,user_edit,benign,0.32377622370075143,0,1,1
.docx,847,3713,362,132,7.41,backup,benign,4.383707196713451,0,1,1
.exe,2763,1368,3521,23,4.18,user_edit,benign,0.49511400633546365,1,1,1
.pdf,1142,822,441,106,5.93,system_update,benign,0.7197898417514974,0,1,1
.zip,1811,455,2141,84,3.55,unknown_process,benign,0.25124240737093184,0,0,1
.pdf,724,1625,1645,143,4.0,unknown_process,benign,2.2444751350214434,0,0,1
.txt,225,2773,2801,116,3.05,user_edit,benign,12.324444389669136,0,0,1
.log,4628,3727,867,109,3.91,user_edit,benign,0.8053154708717987,0,0,1
.zip,4209,3148,1448,136,5.01,user_edit,benign,0.7479211212288142,0,1,1
.txt,4655,4090,142,41,7.45,backup,benign,0.8786251340754833,0,1,1
.log,2049,4807,1315,112,5.65,unknown_process,malicious,2.3460224488306385,0,1,1
.pdf,4750,2191,1456,147,3.1,user_edit,benign,0.4612631577976288,0,0,1
.txt,4416,917,2797,112,2.25,system_update,benign,0.20765398546022326,0,0,1
.zip,1574,3987,1876,103,2.69,user_edit,benign,2.533036847183585,0,0,1
.zip,1829,2876,1848,46,5.09,unknown_process,benign,1.57244395758751,0,1,1
.jpg,1918,1441,1713,156,6.21,user_edit,benign,0.751303440692751,0,1,1
.exe,4235,4401,2701,68,7.17,unknown_process,malicious,1.0391971662245105,1,1,1
.docx,2027,736,701,122,2.09,user_edit,benign,0.3630981744631977,0,0,1
.log,3745,3569,998,15,4.88,system_update,benign,0.9530040050859803,0,1,1
.jpg,902,3339,2097,165,4.59,user_edit,benign,3.701773831816215,0,1,1
.docx,4786,3016,1326,129,5.61,system_update,benign,0.6301713329230733,0,1,1
.docx,2040,2890,881,195,5.08,system_update,benign,1.4166666659722222,0,1,1
.txt,10,962,1214,111,5.78,user_edit,benign,96.19999038000097,0,1,1
.docx,261,2990,1160,24,5.62,system_update,benign,11.455938653425523,0,1,1
.exe,1674,3849,555,27,2.64,backup,benign,2.299283152748337,1,0,1
.zip,2220,1027,404,40,6.4,user_edit,benign,0.4626126124042286,0,1,1
.jpg,2061,3866,892,191,2.68,user_edit,benign,1.8757884512975311,0,0,1
.docx,3714,2864,2913,189,5.84,system_update,benign,0.7711362410416973,0,1,1
.txt,1620,2502,602,164,4.29,system_update,benign,1.5444444434910836,0,1,1
.exe,321,1948,1831,24,4.83,user_edit,benign,6.068535806640075,1,1,1
.pdf,1343,1178,341,24,6.97,backup,benign,0.8771407290564849,0,1,1
.zip,2377,4761,1969,4,6.89,system_update,benign,2.002944887672299,0,1,0
.zip,2833,12,704,67,6.5,system_update,benign,0.004235792444674976,0,1,1
.jpg,2825,4400,318,34,4.81,unknown_process,benign,1.55752212334247,0,1,1
.zip,1995,3365,2666,185,6.05,backup,benign,1.6867167911344778,0,1,1
.docx,2959,3023,1387,177,4.82,backup,benign,1.0216289283468643,0,1,1
.txt,2039,3372,2430,181,6.78,user_edit,benign,1.6537518383257714,0,1,1
.zip,3491,2831,2281,116,4.22,backup,benign,0.8109424231420962,0,1,1
.zip,3678,43,1801,23,7.34,user_edit,benign,0.01169113648404265,0,1,1
.pdf,1119,944,1368,109,7.13,unknown_process,malicious,0.8436103656446734,0,1,1
.pdf,1605,2391,1573,69,6.08,backup,benign,1.48971962524005,0,1,1
.log,4028,2546,817,95,3.54,system_update,benign,0.6320754715411928,0,0,1
.exe,236,2412,553,181,2.72,unknown_process,benign,10.220338939744327,1,0,1
.docx,1970,4987,856,62,6.7,user_edit,benign,2.5314720799332626,0,1,1
.zip,4430,1005,1813,169,2.91,unknown_process,benign,0.2268623024318595,0,0,1
.zip,1909,21,2867,57,6.7,user_edit,benign,0.011000523828705854,0,1,1
.txt,376,407,183,188,4.7,unknown_process,benign,1.0824468056317904,0,1,1
.log,3531,1015,3113,54,4.24,user_edit,benign,0.28745397896135544,0,1,1
.exe,2636,4432,1575,70,6.97,backup,benign,1.6813353559630746,1,1,1
.log,1571,1839,397,101,5.32,system_update,benign,1.170591978885683,0,1,1
.jpg,2561,3189,1728,57,5.17,user_edit,benign,1.2452167117355655,0,1,1
.exe,3392,715,2827,138,5.07,unknown_process,benign,0.21079009427747936,1,1,1
.zip,2966,4147,1518,168,4.04,user_edit,benign,1.3981793656782944,0,1,1
.zip,3644,3855,907,135,6.32,user_edit,benign,1.0579034025636929,0,1,1
.exe,3851,4420,1357,103,3.39,user_edit,benign,1.1477538298759404,1,0,1
.zip,873,4885,2175,166,7.16,unknown_process,malicious,5.595647187175662,0,1,1
.docx,1253,141,1,85,6.92,system_update,benign,0.11252992808257786,0,1,1
.exe,1315,4566,3240,61,3.86,backup,benign,3.472243343367115,1,0,1
.log,4821,4883,19,3,6.01,system_update,benign,1.0128604021960463,0,1,0
.exe,2899,964,3404,128,5.15,user_edit,benign,0.3325284579742917,1,1,1
.zip,78,373,584,179,3.86,unknown_process,benign,4.782051220742933,0,0,1
.docx,2622,3636,456,86,7.44,system_update,benign,1.3867276882583037,0,1,1
.docx,4228,2542,3005,47,2.14,user_edit,benign,0.6012298957896807,0,0,1
.jpg,601,3611,2037,196,3.39,backup,benign,6.008319457556873,0,0,1
.log,1066,1693,1133,76,4.86,backup,benign,1.5881801110805063,0,1,1
.pdf,2137,106,3340,38,4.87,backup,benign,0.04960224611623667,0,1,1
.pdf,2450,1682,2493,164,5.24,user_edit,benign,0.6865306119646815,0,1,1
.exe,2344,4098,3312,169,6.13,unknown_process,malicious,1.748293514612503,1,1,1
.jpg,1864,4017,1953,197,5.43,system_update,benign,2.1550429172987964,0,1,1
.txt,1319,2637,3373,141,5.3,backup,benign,1.9992418483705519,0,1,1
.exe,4712,2138,2650,87,2.29,user_edit,benign,0.45373514421610034,1,0,1
.jpg,3598,3417,2151,58,4.07,user_edit,benign,0.9496942743330478,0,1,1
.log,3763,4446,988,50,3.28,system_update,benign,1.181504118739967,0,0,1
.log,4671,3531,3322,30,3.46,backup,benign,0.755940911848439,0,0,1
.log,2191,1287,3525,190,5.05,user_edit,benign,0.587403012055042,0,1,1
.log,993,3180,520,101,3.1,system_update,benign,3.202416915204011,0,0,1
.log,2713,3655,3225,25,3.62,unknown_process,benign,1.3472171023416082,0,0,1
.jpg,2193,2360,859,112,3.3,unknown_process,benign,1.0761513902981525,0,0,1
.jpg,1249,445,174,155,7.22,unknown_process,malicious,0.3562850277371617,0,1,1
.docx,3055,36,1367,179,7.2,backup,benign,0.011783960716273663,0,1,1
.pdf,4599,1476,3053,185,5.35,system_update,benign,0.32093933456818013,0,1,1
.zip,4034,3958,2479,126,7.08,system_update,benign,0.9811601385768072,0,1,1
.log,1998,1799,727,123,6.32,user_edit,benign,0.9004003999497495,0,1,1
.txt,4917,1846,1711,47,5.24,user_edit,benign,0.3754321740135383,0,1,1
.zip,3688,1409,1876,118,2.04,user_edit,benign,0.38204989143653745,0,0,1
.jpg,2152,1709,2898,39,6.25,system_update,benign,0.794144981043613,0,1,1
.txt,4019,2939,1682,16,5.86,user_edit,benign,0.7312764367426533,0,1,1
.txt,3111,1301,1348,22,5.38,system_update,benign,0.418193506776537,0,1,1
.txt,1971,1244,990,54,6.18,system_update,benign,0.6311516993246312,0,1,1
.docx,198,3977,2687,149,4.82,unknown_process,benign,20.085858484414857,0,1,1
.jpg,2627,3098,420,16,5.87,user_edit,benign,1.1792919675754503,0,1,1
.txt,1203,4617,594,59,7.14,unknown_process,malicious,3.8379052337174517,0,1,1
.log,2036,10,2533,31,4.07,backup,benign,0.004911591353186841,0,1,1
.exe,478,2426,1775,170,5.89,backup,benign,5.075313796913569,1,1,1
.txt,1255,1661,2460,32,4.62,backup,benign,1.323505975041031,0,1,1
.docx,923,2632,936,187,5.71,system_update,benign,2.8515709611575613,0,1,1
.zip,420,4816,1108,162,6.2,system_update,benign,11.46666663936508,0,1,1
.jpg,2205,1073,1137,9,2.25,system_update,benign,0.48662131497205385,0,0,0
.docx,2598,3226,332,139,5.56,user_edit,benign,1.241724402909267,0,1,1
.txt,1121,4955,3450,10,3.25,unknown_process,benign,4.42016056697577,0,0,0
.jpg,3069,1317,2703,17,5.69,system_update,benign,0.42913000963534376,0,1,1
